FoilID,Total_Grade,printingDay,toKobeday,QCday,toCERNday,R_grade,R_mean[Mohm/sq],R_rms,GoodRatio[%],Max,Min,ratio_mu[CH/JP],ratio_rms[CH/JP],width_grade,width_mean[um],width_rms,pitch_grade,pitch_mean[um],pitch_rms,eta[mm]
SE7_00073,nan,nan,nan,nan,nan,A,1.13,0.17,100,1.88,0.71,nan,nan,A,322.8,19.3,A,425.4,16,450.2
SE7_00074,nan,nan,nan,nan,nan,A,1.12,0.19,100,1.93,0.64,nan,nan,A,321.6,20.8,A,425.2,17.7,450.2
SE7_00075,nan,nan,nan,nan,nan,A,1.23,0.26,100,1.98,0.74,nan,nan,A,321.4,19.6,A,425.4,15.8,450.2
SE7_00076,nan,nan,nan,nan,nan,A,1.11,0.16,100,1.67,0.69,nan,nan,A,322.2,19.5,A,425.5,15.8,450.3
SE7_00077,nan,nan,nan,nan,nan,A,1.21,0.19,100,2.15,0.66,nan,nan,A,322.6,20,A,425.3,15.9,450.1
SE7_00078,nan,nan,nan,nan,nan,A,1.17,0.18,100,2.1,0.71,nan,nan,A,319.5,19.2,A,425.3,15.6,450.1
SE7_00079,nan,nan,nan,nan,nan,A,1.26,0.2,100,2.02,0.72,nan,nan,A,320.5,19.4,A,425.3,15.7,450.1
SE7_00080,nan,nan,nan,nan,nan,A,1.32,0.24,100,2.31,0.7,nan,nan,A,323.5,20.1,A,425.3,16.1,450.1
SE7_00081,nan,nan,nan,nan,nan,A,1.29,0.22,100,2.32,0.7,nan,nan,A,321,19.7,A,425.3,15.7,450.1
SE7_00082,nan,nan,nan,nan,nan,A,1.24,0.17,100,1.88,0.74,nan,nan,A,321.7,19.7,A,425.3,15.7,450.1
SE7_00083,nan,nan,nan,nan,nan,A,1.25,0.22,100,2.07,0.7,nan,nan,A,323.2,19.6,A,425.3,16,450.1
SE7_00084,nan,nan,nan,nan,nan,A,1.2,0.2,100,1.88,0.67,nan,nan,A,322.1,19.9,A,425.4,15.9,450.1
SE7_00085,nan,nan,nan,nan,nan,A,1.2,0.21,100,2.22,0.73,nan,nan,A,323.7,20.1,A,425.3,16.1,450.2
SE7_00086,nan,nan,nan,nan,nan,A,1.26,0.23,100,2.44,0.66,nan,nan,A,323.9,19.3,A,425.4,15.3,450.1
SE6_00001,nan,nan,nan,nan,nan,A,1.6,0.3,100,2.42,0.82,nan,nan,A,309.7,18.1,A,425.4,14.9,472.1
SE6_00002,nan,nan,nan,nan,nan,A,1.36,0.26,100,2.03,0.74,nan,nan,A,300.9,15.5,A,425.6,13.4,472.1
SE6_00003,nan,nan,nan,nan,nan,A,1.3,0.23,100,2.31,0.51,nan,nan,A,300.2,15.8,A,425.6,13.6,472.1
SE6_00004,nan,nan,nan,nan,nan,A,1.19,0.19,100,1.83,0.69,nan,nan,A,302.8,16.3,A,425.6,14.1,472.2
SE6_00005,nan,nan,nan,nan,nan,A,1.17,0.2,100,1.7,0.61,nan,nan,A,305,16.5,A,425.6,14.2,472.2
SE6_00006,nan,nan,nan,nan,nan,A,1.18,0.19,100,1.66,0.57,nan,nan,A,308.5,16.8,A,425.6,14.6,472.2
SE6_00007,nan,nan,nan,nan,nan,A,1.17,0.16,100,1.63,0.63,nan,nan,A,310.6,17.2,A,425.5,14.8,472.2
SE6_00008,nan,nan,nan,nan,nan,A,1.21,0.24,100,2.04,0.52,nan,nan,A,313.4,17.5,A,425.6,14.9,472.2
SE6_00009,nan,nan,nan,nan,nan,A,1.16,0.24,100,1.93,0.6,nan,nan,A,315.5,17.6,A,425.6,15,472.2
SE6_00010,nan,nan,nan,nan,nan,A,1.18,0.25,100,2.06,0.6,nan,nan,A,316.6,17.9,A,425.6,15.2,472.3
SE6_00011,nan,nan,nan,nan,nan,A,1.18,0.19,100,1.81,0.7,nan,nan,A,318,18,A,425.5,15.2,472.2
SE6_00012,nan,nan,nan,nan,nan,A,1.15,0.2,100,1.77,0.49,nan,nan,A,319,18,A,425.5,15.2,472.2
SE6_00013,nan,nan,nan,nan,nan,A,1.13,0.17,100,1.72,0.64,nan,nan,A,316.3,17.9,A,425.5,14.9,472.2
SE6_00014,nan,nan,nan,nan,nan,A,1.15,0.2,100,1.88,0.59,nan,nan,A,319.7,18.4,A,425.5,15.3,472.2
SE6_00015,nan,nan,nan,nan,nan,A,1.16,0.2,100,1.98,0.45,nan,nan,A,321.2,18.5,A,425.5,15.5,472.3
SE6_00016,nan,nan,nan,nan,nan,A,1.15,0.22,100,1.89,0.59,nan,nan,A,321,18.7,A,425.5,15.5,472.2
SE6_00017,nan,nan,nan,nan,nan,A,1.48,0.23,100,2.14,0.68,nan,nan,A,318.8,18.9,A,425.5,15.5,472.3
SE6_00018,nan,nan,nan,nan,nan,A,1.46,0.25,100,2.1,0.63,nan,nan,A,320.6,18.9,A,425.5,15.6,472.3
SE6_00019,nan,nan,nan,nan,nan,A,1.24,0.19,100,1.68,0.69,nan,nan,A,320.2,18.9,A,425.5,15.5,472.3
SE6_00020,nan,nan,nan,nan,nan,A,1.21,0.24,100,1.84,0.38,nan,nan,A,321.1,19.1,A,425.5,15.8,472.3
SE6_00021,nan,nan,nan,nan,nan,A,1.2,0.2,100,1.87,0.59,nan,nan,A,320.5,19.2,A,425.5,15.7,472.3
SE6_00022,nan,nan,nan,nan,nan,A,1.22,0.23,99.5,3.63,0.56,nan,nan,A,321.1,19.2,A,425.6,15.8,472.4
SE6_00023,nan,nan,nan,nan,nan,A,1.22,0.18,100,1.97,0.75,nan,nan,A,321,19.1,A,425.4,15.8,472.2
SE6_00024,nan,nan,nan,nan,nan,A,1.18,0.2,100,1.93,0.7,nan,nan,A,321.8,19.2,A,425.4,15.9,472.2
SE6_00025,nan,nan,nan,nan,nan,A,1.18,0.2,100,1.93,0.63,nan,nan,A,319.7,18.8,A,425.4,15.6,472.2
SE6_00026,nan,nan,nan,nan,nan,A,1.17,0.17,100,1.79,0.65,nan,nan,A,321.6,19.2,A,425.4,15.9,472.2
SE6_00027,nan,nan,nan,nan,nan,A,1.15,0.18,100,1.88,0.65,nan,nan,A,318.8,18.8,A,425.5,15.5,472.2
SE6_00028,nan,nan,nan,nan,nan,A,1.19,0.22,100,2.2,0.62,nan,nan,A,321.6,19.4,A,425.4,15.9,472.2
SE6_00029,nan,nan,nan,nan,nan,A,1.22,0.18,100,1.66,0.69,nan,nan,A,319.1,19.2,A,425.4,15.7,472.2
SE6_00030,nan,nan,nan,nan,nan,A,1.18,0.16,100,1.8,0.75,nan,nan,A,318.7,19.6,A,425.4,15.7,472.2
SE6_00031,nan,nan,nan,nan,nan,A,1.16,0.17,100,1.92,0.48,nan,nan,A,315.2,18,A,425.6,15.1,472.3
SE6_00032,nan,nan,nan,nan,nan,A,1.26,0.2,100,1.94,0.41,nan,nan,A,319.5,18.5,A,425.7,15.4,472.4
